FILTER REPORT
=============

Input file: final-test.json
Filter: status = 200
Total results: 4664
Filtered results: 3579

RESULTS:
--------
1. https://www.ozyegin.edu.tr/tr | status=200 | method=static | types=
170. https://www.ozyegin.edu.tr/tr/uluslararasi-finans/bolum-baskaninin-mesaji | status=200 | method=static | types=
171. https://www.ozyegin.edu.tr/tr/uluslararasi-finans/akademik-kadro | status=200 | method=static | types=
172. https://www.ozyegin.edu.tr/tr/uluslararasi-finans/temel-yetkinlikler | status=200 | method=static | types=
173. https://www.ozyegin.edu.tr/tr/uluslararasi-finans/etkinlikler | status=200 | method=static | types=
174. https://www.ozyegin.edu.tr/en/international-trade-and-business | status=200 | method=static | types=
175. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik-lisans/hakkinda | status=200 | method=static | types=
176. https://www.ozyegin.edu.tr/tr/node/30 | status=200 | method=static | types=
177. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik | status=200 | method=static | types=
178. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik/hakkinda | status=200 | method=static | types=
179. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik-lisans/bolum-baskaninin-mesaji | status=200 | method=static | types=
180. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik/bolum-baskaninin-mesaji | status=200 | method=static | types=
181. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik/etkinlikler | status=200 | method=static | types=
182. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik/temel-yetkinlikler | status=200 | method=static | types=
183. https://www.ozyegin.edu.tr/tr/uluslararasi-ticaret-ve-isletmecilik/akademik-kadro | status=200 | method=static | types=
184. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri | status=200 | method=static | types=
185. https://www.ozyegin.edu.tr/tr/node/29 | status=200 | method=static | types=
186. https://www.ozyegin.edu.tr/en/management-information-systems | status=200 | method=static | types=
187. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri/hakkinda | status=200 | method=static | types=
188. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri/bolum-baskaninin-mesaji | status=200 | method=static | types=
189. https://www.ozyegin.edu.tr/tr/sitemap | status=200 | method=static | types=
190. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri/temel-yetkinlikler | status=200 | method=static | types=
191. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri/akademik-kadro | status=200 | method=static | types=
192. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri/yonetim-bilisim-sistemleri-arastirma | status=200 | method=static | types=
193. https://www.ozyegin.edu.tr/tr/yonetim-bilisim-sistemleri/etkinlikler | status=200 | method=static | types=
194. https://www.ozyegin.edu.tr/tr/node/33 | status=200 | method=static | types=
195. https://efeb.ozyegin.edu.tr/s | status=200 | method=static | types=
196. https://www.ozyegin.edu.tr/tr/akademik-kadro/ozkanbebek | status=200 | method=static | types=
197. https://www.ozyegin.edu.tr/tr/hakkimizda/ilkeler-ve-politikalar/yapay-zeka-kullanim-politikasi | status=200 | method=static | types=
198. https://www.ozyegin.edu.tr/tr/akademik-kadro/burcinunlu-0 | status=200 | method=static | types=
199. https://www.ozyegin.edu.tr/tr/akademik-kadro/basakozparlak | status=200 | method=static | types=
200. https://www.ozyegin.edu.tr/tr/akademik-kadro/hakanaydin | status=200 | method=static | types=
201. https://www.ozyegin.edu.tr/tr/ogrenci-hizmetleri/universiteye-kayitlar/lisans-programlarina-yks-sonucunda-yerlesen-ogrencilerin | status=200 | method=static | types=
202. https://www.ozyegin.edu.tr/en | status=200 | method=static | types=
203. https://www.ozyegin.edu.tr/tr/basin/etkinlikler | status=200 | method=static | types=
204. https://ozucam.ozyegin.edu.tr/tr | status=200 | method=static | types=
205. https://fbe.ozyegin.edu.tr/tr/akts-ders-katalogu-acilan-dersler/acilan-dersler | status=200 | method=static | types=
206. https://www.ozyegin.edu.tr/tr/fen-bilimleri-enstitusu/maddi-destek | status=200 | method=static | types=
207. https://fbe.ozyegin.edu.tr/tr/ogrenci-gelisimi-ve-deneyimi | status=200 | method=static | types=
208. https://www.ozyegin.edu.tr/tr/enstituler/yapay-zeka | status=200 | method=static | types=
209. https://fbe.ozyegin.edu.tr/tr/basvuru-ve-kabul | status=200 | method=static | types=
210. https://fbe.ozyegin.edu.tr/en | status=200 | method=static | types=
211. https://fbe.ozyegin.edu.tr/tr/enstituler/veri-bilimi | status=200 | method=static | types=
212. https://fbe.ozyegin.edu.tr/tr/enstituler/elektrik-elektronik-muhendisligi | status=200 | method=static | types=
213. https://fbe.ozyegin.edu.tr/ | status=200 | method=static | types=
214. https://www.ozyegin.edu.tr/tr/enstituler/matematik-yuksek-lisans-programi | status=200 | method=static | types=
215. https://fbe.ozyegin.edu.tr/tr/enstituler/insaat-muhendisligi | status=200 | method=static | types=
216. https://fbe.ozyegin.edu.tr/tr/enstituler/bilgisayar-muhendisligi | status=200 | method=static | types=
217. https://fbe.ozyegin.edu.tr/tr/fen-bilimleri-enstitusu/hakkinda | status=200 | method=static | types=
218. https://fbe.ozyegin.edu.tr/tr/enstituler/endustri-muhendisligi | status=200 | method=static | types=
219. https://fbe.ozyegin.edu.tr/tr/enstituler/makine-muhendisligi | status=200 | method=static | types=
